Name,Employee__c,Pay_Period_Start__c,Pay_Period_End__c,Pay_Date__c,Gross_Pay__c,Total_Deductions__c,Status__c,Payment_Method__c
PAY-2025-001,EMP-001,1/1/2025,1/15/2025,1/17/2025,4500,1125,Paid,Direct Deposit
PAY-2025-002,EMP-001,1/16/2025,1/31/2025,2/3/2025,4500,1125,Paid,Direct Deposit
PAY-2025-003,EMP-001,2/1/2025,2/15/2025,2/18/2025,4500,1125,Paid,Direct Deposit
PAY-2025-004,EMP-001,2/16/2025,2/28/2025,3/3/2025,4500,1125,Paid,Direct Deposit
PAY-2025-005,EMP-001,3/1/2025,3/15/2025,3/17/2025,4500,1125,Paid,Direct Deposit
PAY-2025-006,EMP-001,3/16/2025,3/31/2025,4/1/2025,4500,1125,Pending,Direct Deposit
PAY-2025-007,EMP-002,1/1/2025,1/15/2025,1/17/2025,3800,950,Paid,Direct Deposit
PAY-2025-008,EMP-002,1/16/2025,1/31/2025,2/3/2025,3800,950,Paid,Direct Deposit
PAY-2025-009,EMP-002,2/1/2025,2/15/2025,2/18/2025,3800,950,Paid,Direct Deposit
PAY-2025-010,EMP-002,2/16/2025,2/28/2025,3/3/2025,3800,950,Paid,Check
PAY-2025-011,EMP-002,3/1/2025,3/15/2025,3/17/2025,3800,950,Paid,Direct Deposit
PAY-2025-012,EMP-002,3/16/2025,3/31/2025,4/1/2025,3800,950,Pending,Direct Deposit
PAY-2025-013,EMP-003,1/1/2025,1/15/2025,1/17/2025,5200,1300,Paid,Direct Deposit
PAY-2025-014,EMP-003,1/16/2025,1/31/2025,2/3/2025,5200,1300,Paid,Direct Deposit
PAY-2025-015,EMP-003,2/1/2025,2/15/2025,2/18/2025,5200,1300,Paid,Direct Deposit
PAY-2025-016,EMP-003,2/16/2025,2/28/2025,3/3/2025,5200,1300,Paid,Direct Deposit
PAY-2025-017,EMP-003,3/1/2025,3/15/2025,3/17/2025,5200,1300,Paid,Direct Deposit
PAY-2025-018,EMP-003,3/16/2025,3/31/2025,4/1/2025,5200,1300,Pending,Direct Deposit
